owNumber,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScoreBins
6463,0,1,57.0,1,0.0,2,1,1,0.5722405989772024,0
6290,1,1,63.0,4,0.45657023534934055,1,1,0,0.3692587642119822,1
8467,0,1,36.0,9,0.5233483841985406,1,0,0,0.4167005449020381,1
7721,0,1,68.0,2,0.0,2,1,1,0.2992954827185996,2
9308,0,1,40.0,2,0.6695999160455945,2,1,1,0.8370234857428884,2
3815,0,1,38.91621420206537,7,0.0,2,1,0,0.7678502797017115,1
6794,2,1,38.91621420206537,7,0.5046207007793483,1,0,1,0.0031704527782403214,1
7549,2,0,62.0,9,0.5489373793160403,2,0,1,0.6055144266277429,1
5044,1,0,44.0,2,0.0,2,0,0,0.2286586368998239,2
1885,0,1,35.0,6,0.0,2,1,0,0.007369153754183524,1
8994,0,0,35.0,4,0.0,1,1,1,0.6664443954397645,0
2538,0,0,33.0,0,0.3592081549923318,1,1,0,0.6873912958687554,0
3191,0,0,28.0,6,0.42166881381998567,1,1,1,0.2060572284653184,1
6971,2,0,66.0,7,0.4762866867579582,2,1,1,0.8701617004423922,2
891,1,1,37.0,8,0.564138411735219,1,0,0,0.330039968817022,3
2424,0,0,29.0,10,0.0,2,1,0,0.6875493109591966,1
1675,2,0,42.0,7,0.4213770220411005,1,1,1,0.45277654015958524,2
8698,1,0,37.0,3,0.3976668375594251,2,1,0,0.2742978954490154,3
3510,0,1,37.0,1,0.0,1,1,1,0.6341912652658328,3
4070,0,0,34.0,3,0.5232527278306502,1,0,0,0.652507664481958,1
2960,0,1,25.0,9,0.6479137405948369,1,1,0,0.3206178690064901,0
6859,2,1,46.0,4,0.5475049252068839,1,1,1,0.1672086184230594,0
9027,1,0,36.0,7,0.3414173459829846,1,0,0,0.6738965071164297,0
3337,1,1,36.0,10,0.0,2,1,0,0.2794834406685838,2
7827,2,0,51.0,2,0.4646302409077726,1,1,0,0.02054926245456441,1
6607,0,1,31.0,6,0.28405911738905626,2,0,1,0.6295660735600249,3
7504,2,1,44.0,7,0.418525744855212,2,1,1,0.9890973587977652,0
846,0,1,49.0,7,0.3188594620230071,1,0,0,0.6759071991375175,0
4307,0,0,40.0,4,0.0,2,0,0,0.9127644690067901,0
9232,0,1,38.0,10,0.3296050599667778,1,1,0,0.37421118716837454,1
1303,0,0,31.0,2,0.0,2,1,0,0.2724052647027791,0
3454,2,1,40.0,9,0.412933833015628,2,0,0,0.7047446531143723,1
3733,0,1,46.0,6,0.0,1,1,1,0.4695753444453945,2
3311,1,1,50.0,3,0.0,2,1,0,0.06003178303527987,0
590,1,0,47.0,6,0.626931914866311,2,0,0,0.7364045766370687,0
8652,0,1,43.0,1,0.0,2,1,1,0.26232395193741004,0
6966,1,0,38.91621420206537,5,0.0,2,1,1,0.926038436670702,1
7968,0,1,40.0,9,0.4491905059938878,1,0,0,0.14602419531065217,1
3455,0,1,24.0,1,0.7282042282585731,1,1,1,0.859209454502905,1
4238,0,0,29.0,9,0.0,1,1,0,0.9502119952455458,0
6894,0,1,50.0,5,0.6026962580703584,2,1,0,0.8490451838150542,0
8417,2,1,32.0,2,0.3949509938477412,1,0,1,0.555745073654534,0
1828,1,0,22.0,7,0.6761698743900363,2,0,1,0.6818322149765302,0
3877,2,1,31.0,2,0.3569512625624213,2,1,1,0.022151915507931004,0
7677,0,0,33.0,7,0.5095197815176672,1,0,1,0.3000366034956338,0
3780,0,1,37.0,0,0.0,2,0,0,0.5605183795052427,1
9149,0,1,37.0,8,0.0,2,0,0,0.7250332906792599,2
4750,2,1,29.0,4,0.48636739323125183,2,1,1,0.8689889384436212,0
1229,0,0,38.0,3,0.0,2,1,0,0.7927833108061819,1
702,0,1,30.0,7,0.37915338454748704,1,0,0,0.09894784951962911,1
